selection,model,prob,err
oracle,l1,0.6738095238095239,0.04483690609473571
oracle,l2,0.5794871794871795,0.048993143369628504
oracle,dt,0.6976190476190476,0.04392561051663664
oracle,rf,0.7047619047619048,0.04362534091981827
oracle,et,0.7,0.04490924181056724
oracle,kr,0.5837837837837838,0.05022740272679922
oracle,cb,0.7642857142857142,0.04059310286243218
oracle,lgbm,0.6880952380952381,0.04430642458221222
oracle,mlp,0.6,0.08115170977866085
worst,l1,0.3404761904761905,0.045320014383313074
worst,l2,0.5128205128205128,0.04960791327763775
worst,dt,0.4976190476190476,0.04781856140469739
worst,rf,0.6047619047619047,0.04675768900920448
worst,et,0.59,0.048199663899243114
worst,kr,0.08648648648648649,0.028640910789854545
worst,cb,0.6619047619047619,0.04524271989727965
worst,lgbm,0.6523809523809524,0.04554428044751044
worst,mlp,0.32142857142857145,0.07736278174936577
default,l1,0.3404761904761905,0.045320014383313074
default,l2,0.5384615384615384,0.04947719391135506
default,dt,0.5380952380952381,0.04768010688528909
default,rf,0.6952380952380952,0.044022889669066645
default,et,0.6775,0.04580844872946475
default,kr,0.3810810810810811,0.04948582132839817
default,cb,0.6619047619047619,0.04524271989727965
default,lgbm,0.6523809523809524,0.04554428044751044
default,mlp,0.5214285714285715,0.08274901812106292
