selection,model,prob,err
oracle,l1,0.8444444444444444,0.052947824824397804
oracle,l2,0.7764705882352941,0.06262697762855755
oracle,dt,0.8111111111111111,0.057182508093160944
oracle,rf,0.8555555555555555,0.05135637343024448
oracle,et,0.8352941176470589,0.05575783176354428
oracle,kr,0.64375,0.07420482369344326
oracle,cb,0.9055555555555556,0.042723377306223484
oracle,lgbm,0.8111111111111111,0.057182508093160944
oracle,mlp,0.7166666666666667,0.11402179778608286
worst,l1,0.4111111111111111,0.07188133034089939
worst,l2,0.6470588235294118,0.07183807016375392
worst,dt,0.6222222222222222,0.07082894636620717
worst,rf,0.7277777777777777,0.0650250959256284
worst,et,0.7,0.06888763228877112
worst,kr,0.025,0.024191811631211084
worst,cb,0.7,0.06694674500426938
worst,lgbm,0.7611111111111111,0.06229336981719998
worst,mlp,0.3333333333333333,0.11928180141223617
default,l1,0.4166666666666667,0.07202323013453607
default,l2,0.7058823529411765,0.06849491238473934
default,dt,0.6666666666666666,0.06886738015477804
default,rf,0.8166666666666667,0.05652791291275139
default,et,0.7705882352941177,0.06320488429495019
default,kr,0.3625,0.07448866314748842
default,cb,0.6944444444444444,0.06729513441994213
default,lgbm,0.7555555555555555,0.06278315064957292
default,mlp,0.6,0.12396128427860045
