selection,model,prob,err
oracle,l1,0.5458333333333333,0.06299239280203543
oracle,l2,0.42727272727272725,0.06536891092409261
oracle,dt,0.6125,0.061636695982723366
oracle,rf,0.5916666666666667,0.062186543590263196
oracle,et,0.6,0.06331371168204025
oracle,kr,0.5380952380952381,0.06742985381257462
oracle,cb,0.6583333333333333,0.06000323679540901
oracle,lgbm,0.5958333333333333,0.062085916240081127
oracle,mlp,0.5125,0.10953308575494439
worst,l1,0.2875,0.057261379873349186
worst,l2,0.4090909090909091,0.06497031628749678
worst,dt,0.4041666666666667,0.062085916240081127
worst,rf,0.5125,0.0632389565457875
worst,et,0.508695652173913,0.06460951336091139
worst,kr,0.13333333333333333,0.04597712796920113
worst,cb,0.6333333333333333,0.06096805478038235
worst,lgbm,0.5708333333333333,0.06262072691860751
worst,mlp,0.3125,0.10157163420463412
default,l1,0.2833333333333333,0.05701089889304143
default,l2,0.4090909090909091,0.06497031628749678
default,dt,0.44166666666666665,0.06282674221250881
default,rf,0.6041666666666666,0.06187069756833676
default,et,0.6086956521739131,0.06307388615468681
default,kr,0.3952380952380952,0.06612535794204039
default,cb,0.6375,0.060819738777801405
default,lgbm,0.575,0.06254301852858292
default,mlp,0.4625,0.10925873820889567
