selection,model,prob,err
oracle,sl,0.653968253968254,0.03714685939938007
oracle,tl,0.6777777777777778,0.03649280140224662
oracle,ipsws,0.7195652173913043,0.04105141920393281
oracle,drs,0.6285714285714286,0.040019995002498435
oracle,dmls,0.6660714285714285,0.03906152998795619
oracle,xl,0.7017857142857142,0.03789034342678884
oracle,cf,0.7,0.10735362127101256
worst,sl,0.4634920634920635,0.03893991713879738
worst,tl,0.5,0.03904413457159019
worst,ipsws,0.5456521739130434,0.0455018786241833
worst,drs,0.4357142857142857,0.041068844639215264
worst,dmls,0.48214285714285715,0.041386138983964184
worst,xl,0.5339285714285714,0.04131710450890769
worst,cf,0.5857142857142857,0.11539844019743074
default,sl,0.5698412698412698,0.038661359079461444
default,tl,0.5634920634920635,0.03872806251013277
default,ipsws,0.6130434782608696,0.04450961924471432
default,drs,0.4767857142857143,0.0413678996928778
default,dmls,0.5482142857142858,0.041219572110831035
default,xl,0.6035714285714285,0.040514349309843295
default,cf,0.7,0.10735362127101256
