selection,model,prob,err
oracle,sl,0.7777777777777778,0.04959018148464398
oracle,tl,0.7962962962962963,0.04804088505845426
oracle,ipsws,0.85,0.04948757419797418
oracle,drs,0.75,0.05478366544874484
oracle,dmls,0.85,0.04517576784073515
oracle,xl,0.8416666666666667,0.04618561083441625
oracle,cf,0.8,0.1431381616946834
worst,sl,0.5259259259259259,0.0595606710467426
worst,tl,0.5925925925925926,0.05860933031141811
worst,ipsws,0.61,0.06759869229504369
worst,drs,0.5375,0.06308056191622477
worst,dmls,0.5291666666666667,0.06315100857673818
worst,xl,0.6375,0.060819738777801405
worst,cf,0.7,0.16398536520067883
default,sl,0.6407407407407407,0.05722941990859001
default,tl,0.6666666666666666,0.0562299804338262
default,ipsws,0.7,0.06351125884439704
default,drs,0.5791666666666667,0.06246076453647907
default,dmls,0.6,0.06198064213930023
default,xl,0.7166666666666667,0.05701089889304143
default,cf,0.8,0.1431381616946834
