selection,model,prob,err
oracle,sl,0.5611111111111111,0.051263298652659044
oracle,tl,0.5888888888888889,0.050827776124760284
oracle,ipsws,0.6192307692307693,0.05902372095917955
oracle,drs,0.5375,0.054629369104447836
oracle,dmls,0.528125,0.0546969273124357
oracle,xl,0.596875,0.0537455662233814
oracle,cf,0.625,0.15003124674546964
worst,sl,0.4166666666666667,0.05092811443108976
worst,tl,0.4305555555555556,0.051149936608847944
worst,ipsws,0.49615384615384617,0.06077522178542683
worst,drs,0.359375,0.05257229722531511
worst,dmls,0.446875,0.054473559652108976
worst,xl,0.45625,0.054573543770654105
worst,cf,0.5,0.1549516053482506
default,sl,0.5166666666666667,0.051621832399159504
default,tl,0.4861111111111111,0.05163060436669547
default,ipsws,0.5461538461538461,0.060517534333166985
default,drs,0.4,0.05367681063550628
default,dmls,0.509375,0.054774034661022326
default,xl,0.51875,0.05474513213234123
default,cf,0.625,0.15003124674546964
