name,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl_l1,0.967 +/- 0.053,0.972 +/- 0.053,-0.966 +/- 0.055,-0.971 +/- 0.054,0.763 +/- 0.591,0.758 +/- 0.595,0.599 +/- 0.792,0.601 +/- 0.797,-0.998 +/- 0.005,-0.997 +/- 0.002,-0.998 +/- 0.005,-0.997 +/- 0.002,0.933 +/- 0.052,0.951 +/- 0.046,0.939 +/- 0.044,0.956 +/- 0.038,0.998 +/- 0.004,0.998 +/- 0.001,0.996 +/- 0.003,0.999 +/- 0.001,0.998 +/- 0.004,0.998 +/- 0.001,0.997 +/- 0.003,0.999 +/- 0.001,0.998 +/- 0.004,0.998 +/- 0.001,0.997 +/- 0.003,0.999 +/- 0.001,-0.961 +/- 0.020,-0.976 +/- 0.013,-0.986 +/- 0.005,-0.994 +/- 0.003,-0.980 +/- 0.009,-0.990 +/- 0.005
sl_l2,0.635 +/- 0.649,0.663 +/- 0.647,-0.569 +/- 0.747,-0.600 +/- 0.749,0.665 +/- 0.676,0.668 +/- 0.674,0.683 +/- 0.645,0.691 +/- 0.647,-0.788 +/- 0.597,-0.782 +/- 0.593,-0.788 +/- 0.597,-0.782 +/- 0.593,-0.777 +/- 0.594,-0.766 +/- 0.589,-0.581 +/- 0.791,-0.566 +/- 0.783,0.798 +/- 0.599,0.798 +/- 0.596,0.792 +/- 0.597,0.798 +/- 0.597,0.795 +/- 0.598,0.798 +/- 0.598,0.794 +/- 0.598,0.800 +/- 0.597,0.797 +/- 0.599,0.797 +/- 0.597,0.795 +/- 0.598,0.798 +/- 0.597,0.963 +/- 0.054,0.940 +/- 0.053,-0.671 +/- 0.566,-0.710 +/- 0.570,0.524 +/- 0.619,0.467 +/- 0.610
sl_dt,0.056 +/- 0.327,0.752 +/- 0.221,-0.058 +/- 0.333,-0.749 +/- 0.245,0.051 +/- 0.308,0.145 +/- 0.416,0.149 +/- 0.425,0.320 +/- 0.690,-0.266 +/- 0.309,-0.186 +/- 0.542,0.016 +/- 0.430,0.139 +/- 0.575,-0.269 +/- 0.345,-0.162 +/- 0.578,0.117 +/- 0.408,0.317 +/- 0.680,0.098 +/- 0.353,0.291 +/- 0.408,0.123 +/- 0.417,0.538 +/- 0.523,0.007 +/- 0.251,0.240 +/- 0.306,0.126 +/- 0.413,0.427 +/- 0.595,0.142 +/- 0.309,0.290 +/- 0.387,0.127 +/- 0.393,0.552 +/- 0.522,-0.071 +/- 0.382,-0.589 +/- 0.438,-0.038 +/- 0.319,-0.697 +/- 0.325,-0.039 +/- 0.326,-0.732 +/- 0.348
sl_rf,0.088 +/- 0.454,0.743 +/- 0.342,-0.089 +/- 0.451,-0.744 +/- 0.339,0.200 +/- 0.512,0.061 +/- 0.703,-0.058 +/- 0.587,-0.291 +/- 0.618,-0.316 +/- 0.591,-0.390 +/- 0.542,-0.279 +/- 0.529,-0.638 +/- 0.373,-0.294 +/- 0.607,-0.391 +/- 0.542,-0.152 +/- 0.546,-0.356 +/- 0.538,0.274 +/- 0.465,0.389 +/- 0.502,0.005 +/- 0.506,0.341 +/- 0.512,0.320 +/- 0.443,0.423 +/- 0.524,0.030 +/- 0.481,0.204 +/- 0.699,0.311 +/- 0.424,0.302 +/- 0.520,0.105 +/- 0.500,0.390 +/- 0.497,0.008 +/- 0.362,-0.582 +/- 0.460,-0.161 +/- 0.415,-0.810 +/- 0.189,-0.152 +/- 0.401,-0.811 +/- 0.222
sl_et,0.178 +/- 0.565,0.765 +/- 0.260,-0.171 +/- 0.567,-0.769 +/- 0.256,0.138 +/- 0.569,-0.089 +/- 0.574,0.091 +/- 0.480,-0.007 +/- 0.671,-0.037 +/- 0.594,-0.240 +/- 0.418,-0.093 +/- 0.624,-0.421 +/- 0.537,-0.035 +/- 0.592,-0.241 +/- 0.418,0.005 +/- 0.519,-0.144 +/- 0.653,0.163 +/- 0.541,0.278 +/- 0.524,0.108 +/- 0.504,0.551 +/- 0.464,0.203 +/- 0.472,0.255 +/- 0.542,-0.050 +/- 0.475,0.206 +/- 0.593,0.153 +/- 0.535,0.285 +/- 0.511,0.061 +/- 0.518,0.456 +/- 0.395,-0.018 +/- 0.564,-0.592 +/- 0.209,-0.010 +/- 0.584,-0.692 +/- 0.256,-0.124 +/- 0.578,-0.828 +/- 0.135
sl_kr,0.345 +/- 0.286,0.396 +/- 0.245,-0.329 +/- 0.291,-0.378 +/- 0.250,0.682 +/- 0.629,0.640 +/- 0.657,0.600 +/- 0.702,0.596 +/- 0.731,-0.989 +/- 0.015,-0.959 +/- 0.025,-0.969 +/- 0.048,-0.947 +/- 0.021,0.782 +/- 0.235,0.722 +/- 0.309,0.464 +/- 0.559,0.480 +/- 0.621,0.994 +/- 0.012,0.961 +/- 0.019,0.910 +/- 0.135,0.918 +/- 0.122,0.993 +/- 0.012,0.959 +/- 0.021,0.885 +/- 0.147,0.878 +/- 0.208,0.992 +/- 0.013,0.959 +/- 0.020,0.902 +/- 0.134,0.911 +/- 0.132,-0.810 +/- 0.203,-0.826 +/- 0.223,-0.946 +/- 0.059,-0.953 +/- 0.068,-0.924 +/- 0.103,-0.940 +/- 0.114
sl_cb,0.788 +/- 0.191,0.792 +/- 0.213,-0.762 +/- 0.212,-0.771 +/- 0.242,0.577 +/- 0.738,0.573 +/- 0.723,0.609 +/- 0.685,0.555 +/- 0.765,-0.966 +/- 0.069,-0.957 +/- 0.040,-0.939 +/- 0.117,-0.965 +/- 0.016,-0.963 +/- 0.068,-0.954 +/- 0.043,-0.914 +/- 0.124,-0.947 +/- 0.035,0.948 +/- 0.103,0.954 +/- 0.038,0.723 +/- 0.525,0.618 +/- 0.697,0.930 +/- 0.131,0.938 +/- 0.052,0.735 +/- 0.460,0.632 +/- 0.668,0.957 +/- 0.077,0.954 +/- 0.035,0.730 +/- 0.490,0.645 +/- 0.651,0.771 +/- 0.259,0.799 +/- 0.237,-0.839 +/- 0.173,-0.876 +/- 0.070,-0.085 +/- 0.619,-0.117 +/- 0.654
sl_lgbm,-0.034 +/- 0.321,0.187 +/- 0.513,0.049 +/- 0.339,-0.163 +/- 0.521,-0.005 +/- 0.392,-0.065 +/- 0.450,-0.043 +/- 0.401,0.367 +/- 0.570,0.076 +/- 0.407,0.058 +/- 0.481,0.042 +/- 0.394,0.200 +/- 0.520,0.077 +/- 0.409,0.060 +/- 0.482,-0.022 +/- 0.417,0.333 +/- 0.550,-0.176 +/- 0.398,-0.047 +/- 0.407,-0.061 +/- 0.390,0.400 +/- 0.487,-0.065 +/- 0.424,0.025 +/- 0.456,-0.046 +/- 0.454,0.400 +/- 0.511,-0.109 +/- 0.417,-0.018 +/- 0.458,-0.055 +/- 0.409,0.396 +/- 0.525,-0.007 +/- 0.408,-0.175 +/- 0.497,0.115 +/- 0.305,-0.303 +/- 0.295,-0.024 +/- 0.388,-0.207 +/- 0.554
tl_l1,0.806 +/- 0.335,0.983 +/- 0.008,-0.958 +/- 0.034,-0.798 +/- 0.289,0.659 +/- 0.676,0.740 +/- 0.465,0.777 +/- 0.433,0.587 +/- 0.771,-0.976 +/- 0.065,-0.842 +/- 0.257,-0.824 +/- 0.310,-0.966 +/- 0.031,0.863 +/- 0.117,0.756 +/- 0.284,0.728 +/- 0.335,0.515 +/- 0.716,0.980 +/- 0.051,0.831 +/- 0.279,0.916 +/- 0.143,0.897 +/- 0.168,0.979 +/- 0.052,0.831 +/- 0.280,0.934 +/- 0.111,0.843 +/- 0.326,0.980 +/- 0.052,0.829 +/- 0.283,0.943 +/- 0.095,0.882 +/- 0.200,-0.819 +/- 0.182,-0.891 +/- 0.093,-0.819 +/- 0.307,-0.975 +/- 0.011,-0.786 +/- 0.316,-0.970 +/- 0.015
tl_l2,-0.397 +/- 0.412,0.570 +/- 0.497,0.231 +/- 0.540,-0.585 +/- 0.439,0.466 +/- 0.738,-0.280 +/- 0.558,-0.277 +/- 0.485,0.375 +/- 0.678,-0.774 +/- 0.408,0.365 +/- 0.464,-0.602 +/- 0.567,0.417 +/- 0.502,-0.774 +/- 0.408,0.365 +/- 0.465,-0.540 +/- 0.554,0.456 +/- 0.540,0.745 +/- 0.436,-0.328 +/- 0.392,-0.194 +/- 0.466,0.399 +/- 0.701,0.733 +/- 0.437,-0.300 +/- 0.390,-0.238 +/- 0.493,0.357 +/- 0.724,0.737 +/- 0.441,-0.235 +/- 0.480,-0.171 +/- 0.459,0.398 +/- 0.692,0.495 +/- 0.666,-0.442 +/- 0.525,0.067 +/- 0.716,-0.327 +/- 0.626,0.397 +/- 0.719,-0.563 +/- 0.526
