name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl_l1,1.136 +/- 2.708,4.414 +/- 7.336,1.227 +/- 2.681,4.426 +/- 7.334,1.241 +/- 2.676,4.428 +/- 7.332,-,-,1.495 +/- 3.782,4.565 +/- 7.770,1.730 +/- 3.781,4.609 +/- 7.793,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.850 +/- 2.532,4.848 +/- 7.142,2.001 +/- 2.482,4.955 +/- 7.092,1.178 +/- 2.700,4.417 +/- 7.338,1.190 +/- 2.695,4.418 +/- 7.337,1.178 +/- 2.700,4.417 +/- 7.338,1.178 +/- 2.700,4.417 +/- 7.338,1.178 +/- 2.700,4.417 +/- 7.338,1.190 +/- 2.695,4.418 +/- 7.337,1.734 +/- 2.583,4.747 +/- 7.199,1.284 +/- 2.664,4.443 +/- 7.326,1.284 +/- 2.664,4.443 +/- 7.326
sl_l2,1.100 +/- 2.658,4.405 +/- 7.317,1.243 +/- 2.723,4.433 +/- 7.347,1.262 +/- 2.780,4.440 +/- 7.367,-,-,1.171 +/- 2.805,4.426 +/- 7.370,1.165 +/- 2.807,4.425 +/- 7.371,1.676 +/- 2.643,4.647 +/- 7.271,1.676 +/- 2.643,4.647 +/- 7.271,1.676 +/- 2.643,4.647 +/- 7.271,1.625 +/- 2.490,4.628 +/- 7.218,1.158 +/- 2.646,4.409 +/- 7.320,1.158 +/- 2.646,4.409 +/- 7.320,1.158 +/- 2.646,4.409 +/- 7.320,1.158 +/- 2.646,4.409 +/- 7.320,1.158 +/- 2.646,4.409 +/- 7.320,1.158 +/- 2.646,4.409 +/- 7.320,1.734 +/- 2.619,4.651 +/- 7.274,1.304 +/- 2.604,4.462 +/- 7.297,1.495 +/- 2.526,4.528 +/- 7.266
sl_dt,0.008 +/- 0.014,2.487 +/- 3.842,0.397 +/- 0.643,3.150 +/- 5.221,0.411 +/- 0.637,3.146 +/- 5.223,-,-,0.722 +/- 1.240,3.517 +/- 5.038,0.422 +/- 0.802,3.577 +/- 5.519,0.459 +/- 0.781,3.766 +/- 5.190,0.407 +/- 0.796,3.641 +/- 5.487,0.469 +/- 0.797,3.553 +/- 4.701,0.418 +/- 0.793,3.589 +/- 5.513,0.497 +/- 0.743,3.036 +/- 4.486,0.431 +/- 0.585,2.927 +/- 4.558,0.532 +/- 0.788,3.295 +/- 4.591,0.231 +/- 0.387,3.219 +/- 5.077,0.449 +/- 0.702,3.087 +/- 4.489,0.412 +/- 0.560,2.911 +/- 4.555,0.465 +/- 0.628,2.909 +/- 4.535,0.554 +/- 0.932,2.993 +/- 4.838,0.522 +/- 0.832,2.926 +/- 4.835
sl_rf,0.043 +/- 0.050,2.153 +/- 3.558,0.269 +/- 0.457,2.179 +/- 3.547,0.267 +/- 0.456,2.206 +/- 3.622,-,-,0.874 +/- 2.168,3.541 +/- 6.527,1.246 +/- 2.946,4.004 +/- 7.190,1.253 +/- 2.943,3.964 +/- 7.204,1.261 +/- 2.940,4.065 +/- 7.169,0.914 +/- 2.155,3.643 +/- 6.492,0.898 +/- 2.092,3.619 +/- 6.281,0.286 +/- 0.450,2.302 +/- 3.508,0.254 +/- 0.466,2.568 +/- 4.068,0.204 +/- 0.354,2.516 +/- 3.928,0.261 +/- 0.354,2.600 +/- 3.820,0.266 +/- 0.459,2.221 +/- 3.534,0.307 +/- 0.468,2.376 +/- 3.562,0.326 +/- 0.447,2.308 +/- 3.592,0.286 +/- 0.451,2.192 +/- 3.550,0.278 +/- 0.460,2.183 +/- 3.554
sl_et,0.106 +/- 0.281,1.911 +/- 3.247,0.241 +/- 0.337,2.027 +/- 3.300,0.239 +/- 0.338,2.025 +/- 3.301,-,-,0.841 +/- 2.236,3.694 +/- 6.593,0.892 +/- 2.431,3.813 +/- 6.756,0.910 +/- 2.424,3.820 +/- 6.736,0.915 +/- 2.424,3.904 +/- 6.718,0.755 +/- 1.961,3.682 +/- 6.347,0.762 +/- 1.998,3.614 +/- 6.167,0.241 +/- 0.368,2.119 +/- 3.172,0.361 +/- 0.576,2.582 +/- 4.456,0.245 +/- 0.385,2.171 +/- 3.442,0.449 +/- 0.780,2.831 +/- 4.432,0.236 +/- 0.371,2.084 +/- 3.178,0.381 +/- 0.618,2.742 +/- 4.576,0.656 +/- 1.495,2.619 +/- 4.940,0.260 +/- 0.361,2.029 +/- 3.216,0.266 +/- 0.358,1.993 +/- 3.219
sl_kr,0.044 +/- 0.081,1.369 +/- 1.675,0.292 +/- 0.279,1.624 +/- 1.786,0.198 +/- 0.128,1.664 +/- 1.870,-,-,1.402 +/- 3.510,4.163 +/- 7.238,1.665 +/- 3.805,4.258 +/- 7.928,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.613 +/- 1.549,3.644 +/- 4.386,1.693 +/- 1.784,4.082 +/- 5.713,0.130 +/- 0.092,1.631 +/- 1.904,0.578 +/- 1.248,2.466 +/- 3.832,0.119 +/- 0.106,1.739 +/- 1.901,0.351 +/- 0.595,2.201 +/- 2.934,0.287 +/- 0.489,2.257 +/- 3.582,0.386 +/- 0.726,2.114 +/- 2.794,1.031 +/- 0.562,2.498 +/- 2.455,0.292 +/- 0.321,1.644 +/- 1.852,0.445 +/- 0.269,1.709 +/- 1.767
sl_cb,0.209 +/- 0.147,1.322 +/- 1.875,0.319 +/- 0.140,1.465 +/- 2.026,0.338 +/- 0.163,1.490 +/- 2.072,-,-,0.799 +/- 1.531,2.086 +/- 3.417,0.757 +/- 1.543,2.046 +/- 3.432,1.317 +/- 1.364,2.541 +/- 3.231,1.317 +/- 1.364,2.541 +/- 3.231,1.317 +/- 1.364,2.541 +/- 3.231,1.317 +/- 1.364,2.541 +/- 3.231,0.230 +/- 0.167,1.397 +/- 2.063,0.439 +/- 0.742,1.901 +/- 3.243,0.239 +/- 0.160,1.417 +/- 2.063,0.485 +/- 0.738,1.994 +/- 3.282,0.239 +/- 0.163,1.388 +/- 2.061,0.439 +/- 0.742,1.901 +/- 3.243,0.946 +/- 0.513,2.057 +/- 2.123,0.345 +/- 0.190,1.537 +/- 2.101,0.562 +/- 0.203,1.697 +/- 1.988
sl_lgbm,0.106 +/- 0.144,1.699 +/- 2.664,0.192 +/- 0.185,1.845 +/- 2.949,0.193 +/- 0.184,1.846 +/- 2.949,-,-,0.205 +/- 0.211,1.821 +/- 2.703,0.192 +/- 0.171,1.776 +/- 2.697,0.187 +/- 0.181,1.805 +/- 2.705,0.194 +/- 0.169,1.779 +/- 2.694,0.187 +/- 0.181,1.805 +/- 2.705,0.193 +/- 0.170,1.782 +/- 2.694,0.274 +/- 0.320,1.869 +/- 2.911,0.188 +/- 0.166,1.791 +/- 2.733,0.274 +/- 0.326,1.854 +/- 2.916,0.203 +/- 0.190,1.815 +/- 2.797,0.276 +/- 0.323,1.869 +/- 2.909,0.195 +/- 0.173,1.812 +/- 2.801,0.205 +/- 0.216,1.784 +/- 2.665,0.192 +/- 0.207,1.782 +/- 2.734,0.192 +/- 0.208,1.780 +/- 2.735
tl_l1,0.308 +/- 0.418,2.057 +/- 2.785,0.461 +/- 0.450,2.088 +/- 2.773,0.461 +/- 0.450,2.088 +/- 2.773,-,-,1.894 +/- 3.865,4.035 +/- 7.731,1.913 +/- 3.715,4.526 +/- 7.825,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.461 +/- 0.812,3.261 +/- 3.150,1.742 +/- 1.403,4.470 +/- 6.049,0.349 +/- 0.495,2.129 +/- 2.759,0.690 +/- 0.780,2.993 +/- 4.229,0.358 +/- 0.493,2.110 +/- 2.766,0.712 +/- 0.754,3.100 +/- 4.087,0.358 +/- 0.493,2.118 +/- 2.762,0.659 +/- 0.762,2.972 +/- 4.136,1.324 +/- 0.693,3.344 +/- 3.953,0.487 +/- 0.395,2.196 +/- 2.842,0.591 +/- 0.415,2.179 +/- 2.758
tl_l2,0.349 +/- 0.519,2.051 +/- 2.727,0.470 +/- 0.524,2.132 +/- 2.755,0.466 +/- 0.516,2.110 +/- 2.721,-,-,0.474 +/- 0.684,2.219 +/- 2.780,0.530 +/- 0.666,2.158 +/- 2.790,0.589 +/- 0.632,2.163 +/- 2.836,0.600 +/- 0.639,2.156 +/- 2.788,0.589 +/- 0.632,2.163 +/- 2.836,0.600 +/- 0.639,2.156 +/- 2.788,0.401 +/- 0.510,2.220 +/- 2.719,0.447 +/- 0.533,2.140 +/- 2.746,0.400 +/- 0.511,2.221 +/- 2.719,0.461 +/- 0.527,2.145 +/- 2.744,0.404 +/- 0.512,2.228 +/- 2.718,0.459 +/- 0.526,2.135 +/- 2.746,0.596 +/- 0.640,2.149 +/- 2.791,0.483 +/- 0.489,2.133 +/- 2.726,0.528 +/- 0.460,2.128 +/- 2.732
