name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_rs_lgbm,pehe_rs_lgbm
sl_l1,$1.136\pm2.708$,$4.414\pm7.336$,$1.227\pm2.681$,$4.426\pm7.334$,$1.241\pm2.676$,$4.428\pm7.332$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$1.178\pm2.700$,$4.417\pm7.338$,$1.178\pm2.700$,$4.417\pm7.338$,$1.284\pm2.664$,$4.443\pm7.326$
sl_l2,$1.100\pm2.658$,$4.405\pm7.317$,$1.243\pm2.723$,$4.433\pm7.347$,$1.262\pm2.780$,$4.440\pm7.367$,-,-,$1.676\pm2.643$,$4.647\pm7.271$,$1.676\pm2.643$,$4.647\pm7.271$,$1.158\pm2.646$,$4.409\pm7.320$,$1.158\pm2.646$,$4.409\pm7.320$,$1.304\pm2.604$,$4.462\pm7.297$
sl_dt,$0.008\pm0.014$,$2.487\pm3.842$,$0.397\pm0.643$,$3.150\pm5.221$,$0.411\pm0.637$,$3.146\pm5.223$,-,-,$0.459\pm0.781$,$3.766\pm5.190$,$0.407\pm0.796$,$3.641\pm5.487$,$0.532\pm0.788$,$3.295\pm4.591$,$0.231\pm0.387$,$3.219\pm5.077$,$0.554\pm0.932$,$2.993\pm4.838$
sl_rf,$0.043\pm0.050$,$2.153\pm3.558$,$0.269\pm0.457$,$2.179\pm3.547$,$0.267\pm0.456$,$2.206\pm3.622$,-,-,$1.253\pm2.943$,$3.964\pm7.204$,$1.261\pm2.940$,$4.065\pm7.169$,$0.204\pm0.354$,$2.516\pm3.928$,$0.261\pm0.354$,$2.600\pm3.820$,$0.286\pm0.451$,$2.192\pm3.550$
sl_et,$0.106\pm0.281$,$1.911\pm3.247$,$0.241\pm0.337$,$2.027\pm3.300$,$0.239\pm0.338$,$2.025\pm3.301$,-,-,$0.910\pm2.424$,$3.820\pm6.736$,$0.915\pm2.424$,$3.904\pm6.718$,$0.245\pm0.385$,$2.171\pm3.442$,$0.449\pm0.780$,$2.831\pm4.432$,$0.260\pm0.361$,$2.029\pm3.216$
sl_kr,$0.044\pm0.081$,$1.369\pm1.675$,$0.292\pm0.279$,$1.624\pm1.786$,$0.198\pm0.128$,$1.664\pm1.870$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.119\pm0.106$,$1.739\pm1.901$,$0.351\pm0.595$,$2.201\pm2.934$,$0.292\pm0.321$,$1.644\pm1.852$
sl_cb,$0.209\pm0.147$,$1.322\pm1.875$,$0.319\pm0.140$,$1.465\pm2.026$,$0.338\pm0.163$,$1.490\pm2.072$,-,-,$1.317\pm1.364$,$2.541\pm3.231$,$1.317\pm1.364$,$2.541\pm3.231$,$0.239\pm0.160$,$1.417\pm2.063$,$0.485\pm0.738$,$1.994\pm3.282$,$0.345\pm0.190$,$1.537\pm2.101$
sl_lgbm,$0.106\pm0.144$,$1.699\pm2.664$,$0.192\pm0.185$,$1.845\pm2.949$,$0.193\pm0.184$,$1.846\pm2.949$,-,-,$0.187\pm0.181$,$1.805\pm2.705$,$0.194\pm0.169$,$1.779\pm2.694$,$0.274\pm0.326$,$1.854\pm2.916$,$0.203\pm0.190$,$1.815\pm2.797$,$0.192\pm0.207$,$1.782\pm2.734$
tl_l1,$0.308\pm0.418$,$2.057\pm2.785$,$0.461\pm0.450$,$2.088\pm2.773$,$0.461\pm0.450$,$2.088\pm2.773$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.358\pm0.493$,$2.110\pm2.766$,$0.712\pm0.754$,$3.100\pm4.087$,$0.487\pm0.395$,$2.196\pm2.842$
tl_l2,$0.349\pm0.519$,$2.051\pm2.727$,$0.470\pm0.524$,$2.132\pm2.755$,$0.466\pm0.516$,$2.110\pm2.721$,-,-,$0.589\pm0.632$,$2.163\pm2.836$,$0.600\pm0.639$,$2.156\pm2.788$,$0.400\pm0.511$,$2.221\pm2.719$,$0.461\pm0.527$,$2.145\pm2.744$,$0.483\pm0.489$,$2.133\pm2.726$
