name,ate_test,pehe_test,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_rs_lgbm,pehe_rs_lgbm,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed
l1,$0.046\pm0.049$,$1.643\pm2.651$,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.237\pm0.413$,$1.892\pm2.588$,$0.430\pm0.723$,$2.550\pm3.778$,$0.340\pm0.388$,$1.795\pm2.643$,,,,,,
l2,$0.161\pm0.336$,$1.603\pm2.522$,$1.676\pm2.643$,$4.647\pm7.271$,$1.676\pm2.643$,$4.647\pm7.271$,$0.233\pm0.405$,$1.822\pm2.601$,$0.367\pm0.724$,$2.008\pm2.912$,$0.270\pm0.426$,$1.810\pm2.696$,,,,,,
dt,$0.000\pm0.001$,$1.890\pm2.797$,$2.916\pm1.932$,$4.509\pm4.129$,$2.071\pm0.693$,$4.983\pm5.425$,$0.359\pm0.321$,$3.750\pm4.130$,$0.284\pm0.376$,$3.167\pm5.131$,$0.399\pm0.605$,$2.330\pm3.085$,,,,,,
rf,$0.020\pm0.033$,$1.529\pm2.434$,$1.412\pm2.999$,$4.023\pm7.327$,$1.372\pm3.012$,$4.123\pm7.294$,$0.284\pm0.380$,$2.051\pm3.048$,$0.355\pm0.543$,$2.603\pm3.945$,$0.253\pm0.286$,$1.909\pm2.905$,,,,,,
et,$0.003\pm0.006$,$1.582\pm2.744$,$1.102\pm2.364$,$3.863\pm6.721$,$1.037\pm2.386$,$3.879\pm6.713$,$0.273\pm0.602$,$2.038\pm2.993$,$0.341\pm0.485$,$2.776\pm4.363$,$0.292\pm0.387$,$1.999\pm3.320$,,,,,,
kr,$0.001\pm0.002$,$0.653\pm0.586$,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.195\pm0.166$,$2.251\pm1.563$,$0.447\pm0.860$,$2.416\pm3.453$,$0.282\pm0.313$,$1.399\pm1.868$,,,,,,
cb,$0.004\pm0.007$,$0.893\pm1.157$,$1.317\pm1.364$,$2.541\pm3.231$,$1.248\pm0.918$,$3.447\pm5.104$,$0.108\pm0.061$,$1.480\pm1.031$,$0.214\pm0.386$,$2.074\pm2.879$,$0.267\pm0.191$,$1.453\pm2.099$,,,,,,
lgbm,$0.016\pm0.024$,$1.326\pm1.687$,$1.043\pm0.681$,$3.698\pm6.299$,$1.067\pm0.934$,$2.593\pm3.157$,$0.183\pm0.173$,$2.655\pm2.661$,$0.315\pm0.242$,$1.916\pm2.761$,$0.264\pm0.239$,$1.881\pm2.720$,,,,,,
cf,$0.198\pm0.392$,$2.290\pm3.559$,$0.252\pm0.385$,$2.379\pm3.529$,$0.299\pm0.583$,$2.948\pm4.650$,$0.278\pm0.517$,$2.451\pm3.667$,$0.273\pm0.521$,$2.545\pm3.783$,$0.240\pm0.388$,$2.295\pm3.556$,-,-,-,-,-,-
sl_mlp,$0.104\pm0.113$,$0.925\pm0.673$,$2.558\pm1.136$,$5.197\pm5.312$,$2.664\pm0.941$,$5.254\pm5.333$,$0.311\pm0.217$,$1.305\pm1.265$,$1.921\pm4.748$,$3.493\pm6.620$,$0.342\pm0.201$,$1.232\pm0.831$,$0.486\pm0.385$,$1.064\pm0.637$,$0.486\pm0.385$,$1.064\pm0.637$,-,-
tl_mlp,$0.000\pm0.000$,$0.641\pm0.570$,$0.555\pm0.443$,$1.501\pm1.281$,$0.459\pm0.276$,$2.365\pm2.875$,$0.143\pm0.093$,$1.366\pm0.961$,$0.285\pm0.143$,$2.081\pm2.534$,$0.507\pm0.624$,$1.399\pm1.488$,$0.221\pm0.229$,$0.894\pm0.549$,$0.198\pm0.143$,$0.868\pm0.525$,-,-
