name,att_test,policy_test,att_mse,policy_mse,att_r2,policy_r2,att_mixed,policy_mixed,att_sl_lgbm_ate,policy_sl_lgbm_ate,att_sl_lgbm_pehe,policy_sl_lgbm_pehe,att_tl_lgbm_ate,policy_tl_lgbm_ate,att_tl_lgbm_pehe,policy_tl_lgbm_pehe,att_rs_lgbm,policy_rs_lgbm
sl_l1,$0.060\pm0.080$,$0.220\pm0.047$,$0.071\pm0.080$,$0.241\pm0.044$,$0.069\pm0.082$,$0.271\pm0.065$,-,-,$0.083\pm0.079$,$0.297\pm0.060$,$0.083\pm0.079$,$0.297\pm0.060$,$0.083\pm0.079$,$0.297\pm0.060$,$0.083\pm0.079$,$0.297\pm0.060$,$0.083\pm0.078$,$0.262\pm0.052$
sl_l2,$0.075\pm0.073$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$,-,-,$0.079\pm0.072$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$,$0.079\pm0.072$,$0.226\pm0.049$
sl_dt,$0.025\pm0.046$,$0.225\pm0.049$,$0.069\pm0.080$,$0.292\pm0.068$,$0.066\pm0.081$,$0.294\pm0.071$,-,-,$0.082\pm0.084$,$0.295\pm0.063$,$0.083\pm0.079$,$0.297\pm0.060$,$0.070\pm0.073$,$0.276\pm0.058$,$0.065\pm0.053$,$0.285\pm0.058$,$0.063\pm0.061$,$0.271\pm0.061$
sl_rf,$0.050\pm0.067$,$0.197\pm0.045$,$0.075\pm0.077$,$0.249\pm0.055$,$0.071\pm0.064$,$0.256\pm0.045$,-,-,$0.079\pm0.079$,$0.295\pm0.065$,$0.083\pm0.079$,$0.297\pm0.060$,$0.072\pm0.069$,$0.237\pm0.041$,$0.070\pm0.073$,$0.247\pm0.041$,$0.073\pm0.069$,$0.242\pm0.038$
sl_et,$0.043\pm0.060$,$0.172\pm0.041$,$0.070\pm0.060$,$0.267\pm0.063$,$0.071\pm0.062$,$0.260\pm0.061$,-,-,$0.078\pm0.079$,$0.266\pm0.069$,$0.083\pm0.079$,$0.295\pm0.064$,$0.075\pm0.079$,$0.258\pm0.053$,$0.068\pm0.079$,$0.265\pm0.051$,$0.076\pm0.063$,$0.234\pm0.039$
sl_kr,$0.008\pm0.009$,$0.166\pm0.033$,$0.081\pm0.068$,$0.238\pm0.041$,$0.081\pm0.068$,$0.238\pm0.041$,-,-,$0.105\pm0.075$,$0.260\pm0.068$,$0.081\pm0.071$,$0.235\pm0.042$,$0.127\pm0.077$,$0.257\pm0.060$,$0.078\pm0.073$,$0.248\pm0.041$,$0.078\pm0.075$,$0.217\pm0.036$
sl_cb,$0.059\pm0.068$,$0.185\pm0.036$,$0.076\pm0.069$,$0.247\pm0.052$,$0.074\pm0.066$,$0.239\pm0.048$,-,-,$0.078\pm0.066$,$0.232\pm0.037$,$0.076\pm0.066$,$0.232\pm0.047$,$0.073\pm0.066$,$0.241\pm0.054$,$0.074\pm0.070$,$0.245\pm0.058$,$0.076\pm0.069$,$0.211\pm0.027$
sl_lgbm,$0.057\pm0.070$,$0.184\pm0.039$,$0.067\pm0.070$,$0.202\pm0.045$,$0.067\pm0.070$,$0.203\pm0.044$,-,-,$0.072\pm0.070$,$0.211\pm0.048$,$0.073\pm0.069$,$0.206\pm0.045$,$0.069\pm0.069$,$0.200\pm0.041$,$0.070\pm0.068$,$0.209\pm0.048$,$0.074\pm0.072$,$0.206\pm0.051$
tl_l1,$0.049\pm0.070$,$0.222\pm0.044$,$0.074\pm0.069$,$0.246\pm0.047$,$0.076\pm0.067$,$0.246\pm0.047$,-,-,$0.092\pm0.072$,$0.244\pm0.044$,$0.140\pm0.099$,$0.289\pm0.054$,$0.073\pm0.070$,$0.248\pm0.041$,$0.079\pm0.070$,$0.246\pm0.043$,$0.105\pm0.105$,$0.265\pm0.069$
tl_l2,$0.068\pm0.070$,$0.227\pm0.052$,$0.077\pm0.074$,$0.238\pm0.048$,$0.076\pm0.070$,$0.240\pm0.051$,-,-,$0.074\pm0.070$,$0.246\pm0.051$,$0.076\pm0.069$,$0.245\pm0.050$,$0.076\pm0.075$,$0.239\pm0.051$,$0.076\pm0.069$,$0.245\pm0.050$,$0.078\pm0.066$,$0.241\pm0.048$
