name,att_test,policy_test,att_sl_lgbm_ate,policy_sl_lgbm_ate,att_sl_lgbm_pehe,policy_sl_lgbm_pehe,att_tl_lgbm_ate,policy_tl_lgbm_ate,att_tl_lgbm_pehe,policy_tl_lgbm_pehe,att_rs_lgbm,policy_rs_lgbm,att_mse,policy_mse,att_r2,policy_r2,att_mixed,policy_mixed
l1,$0.032\pm0.066$,$0.197\pm0.040$,$0.083\pm0.079$,$0.297\pm0.060$,$0.083\pm0.079$,$0.297\pm0.060$,$0.073\pm0.070$,$0.248\pm0.041$,$0.079\pm0.070$,$0.246\pm0.043$,$0.093\pm0.072$,$0.270\pm0.071$,,,,,,
l2,$0.061\pm0.068$,$0.199\pm0.042$,$0.078\pm0.076$,$0.234\pm0.057$,$0.082\pm0.074$,$0.226\pm0.049$,$0.076\pm0.073$,$0.251\pm0.045$,$0.077\pm0.077$,$0.239\pm0.053$,$0.082\pm0.075$,$0.224\pm0.058$,,,,,,
dt,$0.002\pm0.004$,$0.142\pm0.031$,$0.082\pm0.084$,$0.295\pm0.063$,$0.083\pm0.079$,$0.297\pm0.060$,$0.077\pm0.053$,$0.232\pm0.038$,$0.077\pm0.063$,$0.255\pm0.050$,$0.062\pm0.058$,$0.233\pm0.056$,,,,,,
rf,$0.011\pm0.019$,$0.155\pm0.046$,$0.078\pm0.078$,$0.262\pm0.044$,$0.083\pm0.079$,$0.297\pm0.060$,$0.075\pm0.062$,$0.247\pm0.052$,$0.070\pm0.065$,$0.259\pm0.048$,$0.074\pm0.062$,$0.239\pm0.050$,,,,,,
et,$0.014\pm0.025$,$0.148\pm0.039$,$0.078\pm0.079$,$0.266\pm0.069$,$0.083\pm0.079$,$0.295\pm0.064$,$0.075\pm0.069$,$0.237\pm0.063$,$0.081\pm0.077$,$0.246\pm0.045$,$0.073\pm0.070$,$0.223\pm0.048$,,,,,,
kr,$0.000\pm0.000$,$0.141\pm0.026$,$0.190\pm0.367$,$0.240\pm0.052$,$0.074\pm0.080$,$0.253\pm0.032$,$0.080\pm0.065$,$0.239\pm0.051$,$0.078\pm0.069$,$0.250\pm0.047$,$0.085\pm0.078$,$0.262\pm0.072$,,,,,,
cb,$0.025\pm0.034$,$0.156\pm0.033$,$0.085\pm0.076$,$0.248\pm0.040$,$0.086\pm0.073$,$0.245\pm0.043$,$0.073\pm0.060$,$0.212\pm0.049$,$0.075\pm0.070$,$0.246\pm0.057$,$0.066\pm0.064$,$0.212\pm0.046$,,,,,,
lgbm,$0.009\pm0.010$,$0.174\pm0.034$,$0.080\pm0.070$,$0.248\pm0.046$,$0.083\pm0.071$,$0.245\pm0.047$,$0.071\pm0.068$,$0.213\pm0.050$,$0.077\pm0.064$,$0.235\pm0.048$,$0.076\pm0.072$,$0.221\pm0.045$,,,,,,
cf,$0.053\pm0.067$,$0.204\pm0.050$,$0.080\pm0.064$,$0.247\pm0.057$,$0.079\pm0.067$,$0.254\pm0.051$,$0.079\pm0.070$,$0.258\pm0.056$,$0.076\pm0.068$,$0.258\pm0.057$,$0.072\pm0.064$,$0.225\pm0.047$,-,-,-,-,-,-
sl_mlp,$0.023\pm0.057$,$0.162\pm0.029$,$0.076\pm0.068$,$0.232\pm0.057$,$0.087\pm0.081$,$0.273\pm0.093$,$0.072\pm0.068$,$0.264\pm0.054$,$0.063\pm0.067$,$0.251\pm0.045$,$0.075\pm0.076$,$0.251\pm0.042$,$0.068\pm0.066$,$0.254\pm0.055$,$0.071\pm0.065$,$0.257\pm0.052$,-,-
tl_mlp,$0.010\pm0.029$,$0.132\pm0.028$,$0.086\pm0.079$,$0.251\pm0.047$,$0.081\pm0.081$,$0.246\pm0.063$,$0.078\pm0.079$,$0.256\pm0.044$,$0.086\pm0.087$,$0.243\pm0.047$,$0.088\pm0.074$,$0.216\pm0.046$,$0.066\pm0.078$,$0.226\pm0.041$,$0.075\pm0.074$,$0.248\pm0.067$,-,-
